date,tmax,tmin,prec,rs,rh,u2_obs,eto
2009-10-15,31.98,24.07,2.72,16.41,74.36,1.85,4.137761792901267
2009-10-16,33.07,23.66,2.07,13.65,74.88,1.24,3.729848656405797
2009-10-17,33.22,23.67,1.21,18.55,73.74,0.94,4.561967882672827
2009-10-18,35.01,23.31,0.01,18.59,68.52,1.36,4.882940121025945
2009-10-19,35.28,23.92,0.3,18.18,65.92,1.61,4.963367431733603
2009-10-20,34.94,24.19,0.36,17.43,64.73,1.56,4.8767333147497185
2009-10-21,36.29,23.47,0.0,24.96,59.31,2.05,6.326442597490544
2009-10-22,36.26,23.08,4.52,24.45,60.37,1.54,6.191888618226406
2009-10-23,35.67,24.72,1.43,16.24,63.69,1.43,4.802985649013114
2009-10-24,32.26,24.84,0.45,21.84,72.25,1.52,5.122527573154242
2009-10-25,31.53,24.12,10.55,18.55,73.98,0.92,4.46022652718658
2009-10-26,33.59,23.2,6.01,10.89,73.3,1.36,3.3749816393620193
2009-10-27,34.06,23.7,0.05,17.39,69.87,1.37,4.5885060008909475
2009-10-28,33.54,24.45,0.14,18.87,71.72,1.7,4.747664293272139
2009-10-29,33.14,24.14,1.33,16.52,73.01,1.3,4.284193486025881
2009-10-30,33.32,24.5,1.1,15.52,68.6,1.65,4.32733557009139
2009-10-31,35.24,23.65,0.0,24.12,62.47,1.95,6.000193576906591
2009-11-01,34.38,24.25,0.0,20.79,64.21,1.25,5.378730618320857
2009-11-02,34.75,23.49,2.13,20.57,68.51,1.56,5.184998585933658
2009-11-03,33.99,24.53,1.08,13.33,73.3,1.18,3.8228638265079278
2009-11-04,33.82,23.63,0.04,18.04,76.5,1.94,4.414862500874467
2009-11-05,32.34,23.88,0.0,17.95,74.8,1.3,4.377555076596263
2009-11-06,36.02,23.77,0.0,20.52,64.16,2.13,5.4542432284817775
2009-11-07,35.49,23.11,0.51,16.5,65.1,1.4,4.716430925330372
2009-11-08,36.09,24.58,0.07,18.78,63.06,1.62,5.257485240070681
2009-11-09,34.14,24.89,0.0,16.98,65.84,1.2,4.732210805424693
2009-11-10,35.38,24.82,3.88,14.87,64.19,1.39,4.546207988511381
2009-11-11,33.86,25.11,1.32,20.3,72.9,0.89,4.986651203521103
2009-11-12,36.42,25.26,0.0,20.57,62.84,1.25,5.608469150507588
2009-11-13,35.7,24.73,0.02,15.53,64.87,1.83,4.640974617253859
2009-11-14,30.85,24.49,22.03,14.19,77.87,2.04,3.605571157984919
2009-11-15,33.57,23.82,4.84,20.94,70.57,1.25,5.085584111560078
2009-11-16,33.75,25.42,0.15,17.07,68.22,1.04,4.646847801553578
2009-11-17,34.57,24.73,0.03,22.68,68.11,1.59,5.575385486186104
2009-11-18,34.61,25.04,0.05,17.27,68.03,2.01,4.7284912262156125
2009-11-19,34.21,24.38,0.21,19.65,67.74,1.81,5.059954940628464
2009-11-20,34.05,24.65,0.44,17.99,68.75,2.17,4.759403320226261
2009-11-21,35.9,24.36,0.03,19.9,61.04,2.36,5.479846882923729
2009-11-22,36.29,23.28,0.0,25.09,57.96,2.33,6.37004111481959
2009-11-23,36.55,22.63,0.0,21.77,58.62,1.87,5.840048344426943
2009-11-24,36.13,24.55,0.0,22.12,62.69,2.14,5.798573879137514
2009-11-25,35.98,24.41,0.97,20.09,60.93,2.0,5.520837348059858
2009-11-26,36.34,24.02,0.25,18.54,62.3,1.96,5.240117945054635
2009-11-27,35.29,24.4,0.0,21.22,58.33,2.2,5.725323032123422
2009-11-28,37.49,23.79,0.0,22.93,54.24,2.32,6.305619242482185
2009-11-29,36.87,23.93,0.55,20.73,57.77,2.03,5.791703358406665
2009-11-30,35.69,25.46,5.96,17.71,63.65,1.55,5.060566680753564
2009-12-01,32.3,24.23,4.07,9.43,73.43,1.5,3.104414295739712
2009-12-02,28.43,22.53,0.02,13.52,78.92,1.87,3.2736124218255016
2009-12-03,34.79,22.09,0.0,19.11,66.46,1.82,4.967006432152942
2009-12-04,34.21,24.46,7.43,16.54,68.31,1.13,4.5462148728957885
2009-12-05,29.73,24.11,7.17,12.74,77.9,1.91,3.310943456204861
2009-12-06,28.08,23.43,1.95,11.16,80.84,1.16,2.86641773682499
2009-12-07,32.07,22.42,0.17,14.0,79.04,1.32,3.5136989572237716
2009-12-08,32.87,23.56,1.87,14.27,76.15,0.99,3.7550851579368203
2009-12-09,32.74,23.85,3.28,19.95,76.0,1.11,4.664957800294829
2009-12-10,33.54,23.18,2.5,16.83,74.1,1.38,4.2687644690010345
2009-12-11,33.6,22.87,2.28,17.76,73.27,1.46,4.439102869657198
2009-12-12,32.52,23.75,5.94,17.41,76.6,1.49,4.220443255267015
2009-12-13,32.49,23.34,4.93,19.71,75.75,1.4,4.593592212174583
2009-12-14,32.2,23.33,3.17,20.41,72.91,1.93,4.782483482887283
2009-12-15,32.78,23.12,5.39,14.12,78.29,1.52,3.622985620848853
2009-12-16,29.28,24.02,4.28,15.77,84.26,1.55,3.4978350357254633
2009-12-17,32.31,22.9,1.62,19.19,76.48,1.83,4.452635443848471
2009-12-18,29.61,23.14,0.15,19.16,78.35,1.65,4.21153518198388
