date,tmax,tmin,prec,rs,rh,u2_obs,eto
2022-05-25,28.01,20.79,0.05,17.41,85.0,1.24,3.361127561272556
2022-05-26,28.93,19.82,0.0,18.98,86.23,1.12,3.5419275377083728
2022-05-27,27.98,20.89,0.0,20.26,87.13,1.25,3.6732029106392994
2022-05-28,28.64,20.45,0.0,22.06,85.26,1.08,3.997507816263843
2022-05-29,29.4,20.7,0.03,17.45,85.66,0.98,3.4132983728460915
2022-05-30,29.67,21.45,0.28,19.97,86.75,0.88,3.7797640891493907
2022-05-31,29.64,22.36,2.71,16.75,87.84,0.84,3.3180453029657606
2022-06-01,28.81,22.29,3.26,16.49,91.31,0.91,3.1064424113798923
2022-06-02,29.46,21.75,0.1,18.84,86.38,0.87,3.626944677328628
2022-06-03,26.65,22.42,6.95,18.1,90.84,0.53,3.2366034900597973
2022-06-04,25.62,21.71,4.55,15.34,93.15,0.55,2.699162975120057
2022-06-05,28.69,20.75,0.58,17.07,86.1,0.96,3.2945183369438635
2022-06-06,28.35,21.52,0.2,15.88,86.59,1.07,3.126263641593884
2022-06-07,28.96,20.94,0.05,18.14,84.63,0.78,3.5125655987827664
2022-06-08,28.93,21.35,0.26,18.25,86.65,0.77,3.4742683843092808
2022-06-09,28.98,21.5,0.41,18.82,87.12,0.84,3.546475394107152
2022-06-10,28.68,21.68,0.56,19.28,87.04,0.77,3.6015928669191863
2022-06-11,27.97,21.43,2.11,15.85,89.06,0.61,3.0057000782789998
2022-06-12,28.64,21.68,12.18,20.74,86.67,0.56,3.811058537621813
2022-06-13,28.77,22.2,12.82,17.86,87.98,0.58,3.398601801596833
2022-06-14,28.63,22.83,4.03,16.34,90.21,1.03,3.1235224062023
2022-06-15,28.23,21.27,0.11,18.68,87.35,1.21,3.4563039791364427
2022-06-16,28.61,19.96,0.01,21.12,87.2,1.02,3.7510116613361832
2022-06-17,29.55,20.59,0.0,20.09,85.67,0.92,3.7573968595998344
2022-06-18,29.98,20.99,0.0,21.06,84.89,0.9,3.9675743859052166
2022-06-19,29.48,21.09,0.02,19.77,85.33,0.9,3.7432927269472684
2022-06-20,29.33,21.21,0.13,17.64,84.38,0.92,3.4774668929302726
2022-06-21,28.84,19.44,0.29,20.04,84.82,1.21,3.672414089521385
2022-06-22,28.94,20.75,0.03,17.76,85.02,1.03,3.427538194630188
