ID_Modelo,Raio,Num_Regras,R2_Score
212,0.06868158779880693,131,0.726700656851968
213,0.17110748015031105,53,0.5910576547264681
214,0.018222711653708666,213,0.7684215057439651
215,0.0362615518971029,184,0.778398074578781
216,0.14668355078886425,63,0.5532030056957101
217,0.04835848124998329,162,0.7693535110971288
218,0.0592794377423174,151,0.7347669098362077
219,0.016142934493096762,214,0.7737841225268774
220,0.15334095955319535,63,0.5662620226993776
221,0.06903804802671235,131,0.726349746216709
222,0.14234313105120086,69,0.6073748767459017
223,0.1979236153714833,44,0.5858617559417173
224,0.12046185805731596,76,0.6005727583442244
225,0.134075601105462,72,0.6089911610180376
226,0.1425292304890517,69,0.6073748767459017
227,0.11417074367684865,82,0.6229727628219854
228,0.04557760749966023,168,0.7655460492554946
229,0.1281078418187764,74,0.6061146770166976
230,0.15599621034152109,62,0.5861382439791155
231,0.07550073187430298,126,0.7407593133508987
232,0.0398953122660482,179,0.7754459904651286
233,0.09580195787797281,102,0.678427980098556
234,0.05973769008799663,151,0.7347669098362077
235,0.09644905027749022,102,0.6784090911204146
236,0.04322363413483222,171,0.7960319913544244
237,0.02519134226477119,196,0.7766865732277374
238,0.10595077694361463,88,0.6157810275275662
239,0.04698033789607075,165,0.7683536412235038
240,0.13331953282506792,72,0.6089911610180376
241,0.15211503263739418,63,0.5662620226993776
242,0.13748498412915514,69,0.6073748767459017
243,0.13391391289809776,72,0.6089911610180376
244,0.1957405085833467,44,0.5858617559417173
245,0.1579986277678368,60,0.5891828626394413
246,0.13812347768213168,69,0.6073748767459017
247,0.01282456145711156,226,0.7740392613813057
248,0.135871258593342,71,0.613580332955263
249,0.04159391121803167,175,0.7933035661257044
250,0.14342051089616847,67,0.5619918841987793
251,0.06680594732643129,136,0.7380810911753903
252,0.0740325860339172,126,0.7404347482537035
253,0.05009542367114417,160,0.762309096337016
254,0.02844057103758426,191,0.7611430958586551
255,0.09897970573544422,97,0.6827935899922108
