tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap
-0.533798058537072,1.069167593297211,-0.7808615148957994,0.7580265781981795
-0.4551928618537036,1.0082562836519702,-0.8680335986622892,0.7960304793940243
-0.5119110046778442,1.1337988409709254,-0.8680335986622892,0.834034380589869
-0.847211273203352,1.143035585230826,-0.6376502344222805,0.8720382817857136
-0.48848748213039356,1.0756145327463686,-0.4570794894774099,0.9100421829815584
-0.39545982045397254,0.4599320654132059,-0.4570794894774099,0.9480460841774031
-0.43717774090654654,0.7365062098150381,-0.4570794894774099,0.9860499853732477
-0.5199094601963248,1.1572107311920847,-0.4726459330071404,1.0240538865690925
-0.7745475002947313,1.7670909343703862,-0.49132566524281635,1.062057787764937
-1.0918806804789603,1.6989081204542855,-0.6563299666579576,1.100061688960782
-0.4672734200977183,1.5440825302042636,-0.4259466024179489,1.1380655901566266
-0.38134412842932763,1.5273827854291049,-0.4259466024179489,1.1760694913524712
-1.0694290819797827,1.5790518836944416,-0.4259466024179489,1.214073392548316
-0.6036425439729919,1.812908124725023,-1.0081315904298613,1.2520772937441607
-0.8891021068341372,1.422602684045941,-0.7466153391303929,1.2900811949400053
-0.7740217619741963,1.3579278464503857,-0.4975522426547083,1.3280850961358501
-0.4577760218649168,0.8463908636119373,-0.4975522426547083,1.3660889973316948
-0.46086663655084303,0.31019192219915076,-0.4975522426547083,1.4040928985275394
-0.4667624627778122,0.4581192226944104,-0.8773734647801266,1.4420967997233842
-0.44164747832131473,0.23161604446081716,-0.44462633465362594,1.4801007009192289
-0.3841274159006237,0.18103951286442893,-0.44462633465362594,1.5181046021150735
-0.3712610867708688,0.674864376047341,-0.44462633465362594,1.5561085033109183
-0.5577097239122507,0.8356343291576653,-0.5722711715974143,1.594112404506763
-0.5694255230613586,1.0494565005428644,-0.5722711715974143,1.6321163057026076
-0.6630253725133642,0.7886018187893996,-0.6127439247747126,1.6701202068984524
-0.5148276834438076,0.6066693963197481,-0.7061425859530945,1.708124108094297
-0.43902071011895377,-0.127735756810247,-0.7528419165422848,1.7461280092901417
0.0185180739418002,-1.2027679125755553,0.2776566451258599,-1.7122269995317259
0.0185180739418002,-1.2027679125755553,0.2776566451258599,-1.6742230983358812
-0.4494464079848419,-1.2027679125755553,0.2932230886555893,-1.6362191971400366
-0.2961692761926506,-1.2095519841503606,0.4021881933637017,-1.5982152959441918
-0.17508275364523712,-1.1383679551316364,0.4021881933637017,-1.5602113947483471
0.04201995040178319,-1.132247224208436,0.4021881933637017,-1.5222074935525025
0.09930784452340202,-1.1383679551316364,0.7975758590188494,-1.4842035923566577
-0.45256079488169143,-1.2095519841503606,0.7975758590188494,-1.446199691160813
-0.30783812503446056,-1.2164035600333385,0.7975758590188494,-1.4081957899649684
-0.1031860227622191,-1.2164035600333385,0.5173798754837049,-1.3701918887691236
-0.06227625807122689,-1.2164035600333385,0.492473565836137,-1.332187987573279
0.07486379306167333,-1.2164035600333385,0.34303570795072735,-1.2941840863774343
0.22276640746050091,-1.2164035600333385,0.5298330303074889,-1.2561801851815895
-0.5063236031487189,-1.2164035600333385,0.554739339955059,-1.2181762839857448
-0.3107259608262634,-1.2164035600333385,0.7290835074880365,-1.1801723827899002
-0.19840124116116895,-1.2164035600333385,0.8473884783139874,-1.1421684815940554
-0.004165989542323834,-1.2164035600333385,0.8473884783139874,-1.1041645803982107
0.1787944091987922,-1.2164035600333385,0.8691814992556098,-1.0661606792023661
-0.45946736523983994,-1.2164035600333385,0.8691814992556098,-1.0281567780065213
-0.34307511339976265,-1.2164035600333385,0.8691814992556098,-0.9901528768106767
-0.14805893543151216,-1.2164035600333385,0.6170051140739787,-0.9521489756148319
0.06439126399282238,-1.15077509611732,0.6886107543107393,-0.9141450744189872
0.148768706358954,-1.0464212165932574,0.7041771978404686,-0.8761411732231426
-0.4980746058702009,-0.5772524521343463,0.7041771978404686,-0.8381372720272978
-0.4138946130161029,-0.03756233291398399,0.7041771978404686,-0.8001333708314531
-0.38278992717239024,-0.042552048189962575,0.29010979994964387,-0.7621294696356085
-0.2834693172111171,-0.2200874219671529,0.28699651124369846,-0.7241255684397637
-0.1160486851679077,-1.1261804211307398,0.31190282089126636,-0.686121667243919
