date,dap,tensao_solo_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,IrrDay,Wr,z_root,classe_aquacrop4,classe_aquacrop3,classe_ensemble,consenso_pct,votos_ensemble
2022-09-01,93.0,39.43832450646353,5.706495111472734,0.0,36.58,0.0,172.92000000000002,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 3, 2: 2}"
2022-09-02,94.0,47.36561594728204,7.927291440818507,0.0,36.24,0.0,166.69,1.000000000000001,0,0,0,64.3,"{0: 9, 2: 5}"
2022-09-03,95.0,56.65903170597003,9.293415758687992,0.0,36.51,0.0,161.35,1.000000000000001,0,0,2,57.1,"{0: 6, 2: 8}"
2022-09-04,96.0,66.42178074204024,9.762749036070211,0.0,37.63,64.81375193730817,220.0,1.000000000000001,3,2,2,100.0,{2: 14}
2022-09-05,97.0,14.617185900360786,-51.80459484167945,0.0,37.63,0.0,214.07999999999998,1.000000000000001,0,0,0,100.0,{0: 14}
2022-09-06,98.0,16.69954814841439,2.082362248053604,0.010000000000000444,37.63,0.0,208.26,1.000000000000001,0,0,0,100.0,{0: 14}
2022-09-07,99.0,19.105102770297737,2.405554621883347,0.010000000000000444,37.0,0.0,203.03,1.000000000000001,0,0,0,100.0,{0: 14}
2022-09-08,100.0,21.63115760228199,2.526054831984254,0.08000000000000045,36.9,0.0,198.5,1.000000000000001,0,0,0,100.0,{0: 14}
2022-09-09,101.0,24.150538225323128,2.519380623041137,0.07000000000000045,36.9,0.0,194.19,1.000000000000001,0,0,0,85.7,"{0: 12, 1: 2}"
2022-09-10,102.0,26.882822034605855,2.732283809282727,0.07000000000000045,37.47,0.0,189.47,1.000000000000001,0,0,0,57.1,"{0: 8, 1: 4, 2: 2}"
2022-09-11,103.0,30.314557785134173,3.4317357505283184,0.0,38.1,0.0,184.52,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 4, 2: 3}"
2022-09-12,104.0,34.497322175806325,4.182764390672151,0.010000000000000444,38.1,0.0,180.76,1.000000000000001,0,0,0,42.9,"{0: 6, 2: 3, 1: 5}"
2022-09-13,105.0,38.14524162685751,3.6479194510511874,0.030000000000000443,38.1,0.0,176.89,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 3, 2: 2}"
2022-09-14,106.0,42.396620080832996,4.251378453975484,0.040000000000000445,37.92,0.0,172.57999999999998,1.000000000000001,0,0,0,78.6,"{0: 11, 2: 2, 1: 1}"
2022-09-15,107.0,47.822972390396764,5.426352309563768,0.040000000000000445,38.37,0.0,168.99,1.000000000000001,0,0,0,71.4,"{0: 10, 2: 4}"
