Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
16	5	2022	24.60	31.20	0.00	4.32
17	5	2022	23.70	30.50	0.00	3.28
18	5	2022	24.30	29.80	0.20	2.43
19	5	2022	24.30	29.50	1.40	3.42
20	5	2022	23.40	28.80	17.00	3.14
21	5	2022	22.60	29.50	11.00	3.35
22	5	2022	22.80	29.90	23.40	3.13
23	5	2022	22.50	29.00	4.40	2.23
24	5	2022	21.50	27.90	29.80	2.20
25	5	2022	23.50	30.40	0.20	4.05
26	5	2022	23.40	31.10	0.00	3.71
27	5	2022	23.00	28.60	16.40	2.66
28	5	2022	22.60	29.50	21.80	2.93
29	5	2022	23.50	27.70	8.20	2.85
30	5	2022	22.80	29.30	0.20	3.60
31	5	2022	23.60	29.70	6.40	3.20
1	6	2022	23.50	30.50	0.00	3.74
2	6	2022	24.00	30.00	0.00	3.45
3	6	2022	23.80	29.70	2.80	3.18
4	6	2022	23.00	28.00	22.20	2.78
5	6	2022	23.20	29.00	2.00	2.84
6	6	2022	23.10	28.00	7.00	2.77
7	6	2022	23.10	30.20	18.60	3.17
8	6	2022	22.90	29.10	0.00	2.93
9	6	2022	23.60	28.60	0.60	3.28
10	6	2022	23.80	30.30	0.00	3.90
11	6	2022	23.50	30.10	2.80	3.65
12	6	2022	23.40	30.30	0.00	4.09
13	6	2022	22.60	30.60	0.00	3.98
14	6	2022	24.30	30.40	0.00	3.92
15	6	2022	22.90	31.20	0.20	4.34
16	6	2022	22.90	31.60	0.40	3.86
17	6	2022	23.60	31.70	0.00	3.88
18	6	2022	22.70	31.40	0.00	3.72
19	6	2022	23.60	31.00	0.00	3.09
20	6	2022	23.80	31.20	0.40	3.49
21	6	2022	23.20	30.70	46.00	2.98
22	6	2022	21.90	30.60	0.20	3.28
23	6	2022	23.60	31.60	0.00	4.37
24	6	2022	23.50	30.30	0.00	3.33
25	6	2022	23.60	31.70	10.60	3.89
26	6	2022	24.60	29.80	1.60	2.22
27	6	2022	23.80	30.70	17.80	2.66
28	6	2022	24.00	29.80	2.60	3.17
29	6	2022	24.40	31.40	0.00	3.57
30	6	2022	24.20	31.00	0.00	3.98
1	7	2022	23.60	30.30	0.00	3.81
2	7	2022	24.30	30.20	1.00	3.37
3	7	2022	24.80	29.30	6.80	2.96
4	7	2022	24.20	30.20	1.00	3.63
