ID,Raio,Regras_Finais,R2
238,0.04769513848869688,117,0.7335099117836767
239,0.07922467381574792,98,0.7104087270820894
240,0.0751827497281939,102,0.7170575076764785
241,0.10726148532549479,75,0.6149829631955201
242,0.053595497113173816,114,0.7284787365918892
243,0.13105771347401224,61,0.6245601347301901
244,0.16140933422269357,51,0.6187786761632454
245,0.03849205917829144,128,0.7112977404978456
246,0.02615540452692703,138,0.7012138767793851
247,0.0763300183226982,102,0.7170575076764785
248,0.05285501874473689,114,0.7284787365918892
249,0.06301222683329345,108,0.6967820094706896
250,0.11648860727895045,70,0.6229791458491767
251,0.18996294002362843,42,0.5837653033789649
252,0.18826496223628822,43,0.5818495319164062
253,0.13702024675945862,59,0.6122561629639196
254,0.14763947251881626,53,0.5840846642324117
255,0.034003841652506535,132,0.7079758848039992
256,0.180217449132462,42,0.5697575901029411
257,0.18636251119548278,43,0.5818495319164062
258,0.08193011467779944,94,0.6986739247658696
259,0.19283124445455732,42,0.5837653033789649
260,0.14605390161792686,55,0.5811017747135226
261,0.13567601202889693,60,0.6221450033915459
262,0.11950682909737977,66,0.6245979848435963
263,0.027944051685475486,134,0.6930009934426332
264,0.11727825498798028,68,0.622054098419901
265,0.1620476024773754,51,0.6187786761632454
266,0.05365817442087568,114,0.7284787365918892
267,0.08765509109326484,88,0.6326599730882476
268,0.10549961692480096,75,0.6150836731337483
269,0.03934671091052562,127,0.7116847801759558
270,0.17193765521221513,46,0.6210660675305522
271,0.10510331462266143,75,0.6150836731337483
272,0.14400109998448582,56,0.5701797870947656
273,0.10946829136512433,73,0.6188022726721798
274,0.0127419833541929,155,0.7207313798941817
275,0.06752686734717687,104,0.6927464596635049
276,0.07283356233588416,104,0.6979821574278546
277,0.05520853916321308,113,0.7290506719607912
278,0.19698500231047877,42,0.5837653033789649
279,0.11111656990219405,73,0.6187718657059849
280,0.1539489770864322,54,0.6139057961145525
281,0.04786572334488358,117,0.7335099117836767
282,0.11285395259332416,73,0.6187718657059849
283,0.16527176071656213,48,0.617128678228954
284,0.15614451277428673,53,0.6154341318848116
285,0.10057931719397134,80,0.6109173974540512
286,0.15996708535818321,51,0.6185959636559417
287,0.19103563136942178,42,0.5837653033789649
288,0.01010893137026866,165,0.7048868555017718
289,0.11767727486068646,68,0.622054098419901
290,0.01524243047992569,152,0.7161014581807219
291,0.1682498589510313,47,0.6184767427415081
292,0.13577159745627035,60,0.6221450033915459
293,0.12762118415295712,63,0.6211153615870538
294,0.06242265018116585,109,0.699464495054768
295,0.1915963831356423,42,0.5837653033789649
296,0.1758963706641765,44,0.6096402330467348
297,0.06108493196760844,111,0.7100184127821338
298,0.08099794654458144,94,0.7193098523273309
299,0.18318087261691857,43,0.5818495319164062
300,0.1868277811000596,43,0.5818495319164062
301,0.1474434024758031,53,0.5840846642324117
302,0.12589735180507458,65,0.614813494896141
303,0.028290794309796877,133,0.6933792912782744
304,0.15073433752120186,54,0.5824603582280776
305,0.037410522601272166,129,0.7155623208849096
306,0.18641655976592578,43,0.5818495319164062
307,0.01866003314302664,148,0.7128827960776011
308,0.03123481391439422,133,0.6933792912782744
309,0.1775849742145455,43,0.5728112065367125
310,0.16940516357193516,47,0.6184767427415081
311,0.10952441407923029,73,0.6188022726721798
312,0.10623302210613482,75,0.6149829631955201
313,0.04357935174735044,120,0.7122179191571087
314,0.054861323756129246,113,0.7290506719607912
315,0.17285862356411494,45,0.5946410539457869
316,0.10277660879203714,79,0.612024823701671
