tensao_solo_kpa,chuva_bool,tmax_max_3d_c,dap,classe_irrigacao
504.4385693344403,0,35.0,21,1
464.8506674162205,0,35.0,22,1
400.5317797736948,0,35.0,23,1
376.91811951985477,0,34.8,24,1
355.7188431953481,0,34.4,25,1
335.58607633557676,0,34.4,26,1
316.04219414152135,0,34.5,27,1
279.3948174867774,0,34.9,28,1
262.82294943318465,0,35.1,29,1
244.66562379872454,0,35.1,30,1
228.96208204196972,0,35.1,31,1
215.6284503780178,0,34.2,32,1
204.1875436684362,1,34.2,33,0
187.98461930231272,0,34.3,34,1
183.08224646661344,0,34.3,35,1
164.6502610131505,0,34.3,36,1
156.13480206935802,0,35.2,37,1
147.88076689342873,0,35.2,38,1
138.75652624236525,0,35.2,39,1
130.79301435963274,0,34.3,40,1
123.97525179574491,0,34.5,41,1
118.0818141444003,0,35.1,42,1
112.68066288964633,0,35.1,43,1
107.51459205623327,0,35.1,44,1
102.46181055299641,0,34.5,45,1
97.55933875777257,0,33.9,46,1
92.86152864793537,1,34.3,47,0
78.675650687277,0,34.3,48,0
88.38636815977497,0,34.3,49,1
88.40997818361024,0,34.3,50,1
88.40997818361024,0,34.8,51,2
88.40997818361024,0,36.0,52,2
88.40997818361024,0,36.0,53,2
88.40997818361024,0,36.0,54,2
88.40997818361024,0,34.2,55,1
88.40997818361024,0,35.0,56,1
88.40997818361024,0,35.3,57,2
88.40997818361024,0,35.3,58,2
88.40997818361024,0,35.3,59,2
88.40997818361024,0,35.2,60,2
88.40997818361024,0,35.7,61,2
88.40997818361024,0,35.7,62,2
88.40997818361024,0,35.7,63,2
88.40997818361024,0,36.1,64,2
88.40997818361024,0,36.1,65,2
88.40997818361024,0,36.1,66,2
